gene_name	source
MSRB1	retrogeneDB2-retrocopy
SLC5A1	retrogeneDB2-retrocopy
NME4	retrogeneDB2-retrocopy
C12orf49	retrogeneDB2-retrocopy
SMEK2	retrogeneDB2-retrocopy
SPA17	retrogeneDB2-retrocopy
POLR2M	retrogeneDB2-retrocopy
VPS37A	retrogeneDB2-retrocopy
SPCS1	retrogeneDB2-retrocopy
RNF138	retrogeneDB2-retrocopy
ATP1B1	retrogeneDB2-retrocopy
ARF3	retrogeneDB2-retrocopy
PARL	retrogeneDB2-retrocopy
ERP29	retrogeneDB2-retrocopy
PPP1R11	retrogeneDB2-retrocopy
RNPS1	retrogeneDB2-retrocopy
TTC4	retrogeneDB2-retrocopy
LXN	retrogeneDB2-retrocopy
TDG	retrogeneDB2-retrocopy
SLC6A6	retrogeneDB2-retrocopy
ATP5O	retrogeneDB2-retrocopy
COX4I1	retrogeneDB2-retrocopy
SRSF9	retrogeneDB2-retrocopy
MRPS25	retrogeneDB2-retrocopy
CNBP	retrogeneDB2-retrocopy
GPN3	retrogeneDB2-retrocopy
BET1	retrogeneDB2-retrocopy
TMEM50B	retrogeneDB2-retrocopy
NOC2L	retrogeneDB2-retrocopy
NT5DC1	retrogeneDB2-retrocopy
PDRG1	retrogeneDB2-retrocopy
DCUN1D1	retrogeneDB2-retrocopy
RSRC1	retrogeneDB2-retrocopy
KRAS	retrogeneDB2-retrocopy
AC009065.1	retrogeneDB2-retrocopy
KCTD5	retrogeneDB2-retrocopy
CCNB2	retrogeneDB2-retrocopy
PSMD8	retrogeneDB2-retrocopy
GSTO1	retrogeneDB2-retrocopy
NKAP	retrogeneDB2-retrocopy
RDX	retrogeneDB2-retrocopy
PQLC1	retrogeneDB2-retrocopy
LRRC2	retrogeneDB2-retrocopy
ABT1	retrogeneDB2-retrocopy
SARNP	retrogeneDB2-retrocopy
RP11-683L23.1	retrogeneDB2-retrocopy
EGLN3	retrogeneDB2-retrocopy
TRAM1	retrogeneDB2-retrocopy
C1orf123	retrogeneDB2-retrocopy
UBE2H	retrogeneDB2-retrocopy
MPRIP	retrogeneDB2-retrocopy
GALNT11	retrogeneDB2-retrocopy
E2F3	retrogeneDB2-retrocopy
ARMC1	retrogeneDB2-retrocopy
PTBP1	retrogeneDB2-retrocopy
HK2	retrogeneDB2-retrocopy
AKR1D1	retrogeneDB2-retrocopy
PSMA3	retrogeneDB2-retrocopy
PIGH	retrogeneDB2-retrocopy
SLC25A3	retrogeneDB2-retrocopy
DTWD1	retrogeneDB2-retrocopy
VKORC1	retrogeneDB2-retrocopy
STIP1	retrogeneDB2-retrocopy
HNRNPAB	retrogeneDB2-retrocopy
POLRMT	retrogeneDB2-retrocopy
RPL8	retrogeneDB2-retrocopy
TUBB8	retrogeneDB2-retrocopy
GABARAPL1	retrogeneDB2-retrocopy
LSM12	retrogeneDB2-retrocopy
GPCPD1	retrogeneDB2-retrocopy
SIRPA	retrogeneDB2-retrocopy
PRIM1	retrogeneDB2-retrocopy
GRK6	retrogeneDB2-retrocopy
TCP1	retrogeneDB2-retrocopy
AURKA	retrogeneDB2-retrocopy
SEC11A	retrogeneDB2-retrocopy
VDAC3	retrogeneDB2-retrocopy
MRPL22	retrogeneDB2-retrocopy
TYRO3	retrogeneDB2-retrocopy
TCL1B	retrogeneDB2-retrocopy
ZNF259	retrogeneDB2-retrocopy
ARMC8	retrogeneDB2-retrocopy
USP22	retrogeneDB2-retrocopy
PHC1	retrogeneDB2-retrocopy
ITFG2	retrogeneDB2-retrocopy
BAG4	retrogeneDB2-retrocopy
PACRGL	retrogeneDB2-retrocopy
FNTA	retrogeneDB2-retrocopy
OCIAD2	retrogeneDB2-retrocopy
CENPC	retrogeneDB2-retrocopy
TMEM242	retrogeneDB2-retrocopy
SSX4	retrogeneDB2-retrocopy
TUFM	retrogeneDB2-retrocopy
ZMYND19	retrogeneDB2-retrocopy
SF3B14	retrogeneDB2-retrocopy
COX7A2L	retrogeneDB2-retrocopy
PDHA1	retrogeneDB2-retrocopy
WDR12	retrogeneDB2-retrocopy
SEC61B	retrogeneDB2-retrocopy
RSU1	retrogeneDB2-retrocopy
RBM3	retrogeneDB2-retrocopy
CEP57	retrogeneDB2-retrocopy
PPP3R1	retrogeneDB2-retrocopy
SYPL1	retrogeneDB2-retrocopy
FDX1L	retrogeneDB2-retrocopy
SMIM7	retrogeneDB2-retrocopy
MRPL2	retrogeneDB2-retrocopy
SLC35E1	retrogeneDB2-retrocopy
CNOT6L	retrogeneDB2-retrocopy
BX927168.3	retrogeneDB2-retrocopy
CCDC84	retrogeneDB2-retrocopy
PSIP1	retrogeneDB2-retrocopy
SEC14L1	retrogeneDB2-retrocopy
CHAF1B	retrogeneDB2-retrocopy
NDUFAF2	retrogeneDB2-retrocopy
TMEM161B	retrogeneDB2-retrocopy
CCDC137	retrogeneDB2-retrocopy
HADH	retrogeneDB2-retrocopy
MCUR1	retrogeneDB2-retrocopy
MYL6B	retrogeneDB2-retrocopy
PANK3	retrogeneDB2-retrocopy
RPL36A-HNRNPH2	retrogeneDB2-retrocopy
KLHL12	retrogeneDB2-retrocopy
ZFAND1	retrogeneDB2-retrocopy
SSX2IP	retrogeneDB2-retrocopy
APOOL	retrogeneDB2-retrocopy
RAD1	retrogeneDB2-retrocopy
SH3BGRL3	retrogeneDB2-retrocopy
UFC1	retrogeneDB2-retrocopy
KPNA2	retrogeneDB2-retrocopy
TRAPPC2L	retrogeneDB2-retrocopy
HN1	retrogeneDB2-retrocopy
MRPS23	retrogeneDB2-retrocopy
OBFC1	retrogeneDB2-retrocopy
AIFM1	retrogeneDB2-retrocopy
AP1S1	retrogeneDB2-retrocopy
CRTC1	retrogeneDB2-retrocopy
C11orf74	retrogeneDB2-retrocopy
SERPINH1	retrogeneDB2-retrocopy
SLC25A1	retrogeneDB2-retrocopy
AGAP1	retrogeneDB2-retrocopy
RAB3IL1	retrogeneDB2-retrocopy
RPS18	retrogeneDB2-retrocopy
FAM183A	retrogeneDB2-retrocopy
RPL17-C18orf32	retrogeneDB2-retrocopy
METTL1	retrogeneDB2-retrocopy
PIN1	retrogeneDB2-retrocopy
FECH	retrogeneDB2-retrocopy
FKBP1B	retrogeneDB2-retrocopy
FABP12	retrogeneDB2-retrocopy
MRPS18B	retrogeneDB2-retrocopy
ORMDL1	retrogeneDB2-retrocopy
NSMCE4A	retrogeneDB2-retrocopy
ZNF75D	retrogeneDB2-retrocopy
TAGLN2	retrogeneDB2-retrocopy
TUBB8	retrogeneDB2-retrocopy
COX16	retrogeneDB2-retrocopy
ZCCHC7	retrogeneDB2-retrocopy
RALY	retrogeneDB2-retrocopy
TSEN15	retrogeneDB2-retrocopy
MAP2K2	retrogeneDB2-retrocopy
AP2B1	retrogeneDB2-retrocopy
RALGAPA1	retrogeneDB2-retrocopy
AMMECR1L	retrogeneDB2-retrocopy
FAM206A	retrogeneDB2-retrocopy
UTP18	retrogeneDB2-retrocopy
GLUD1	retrogeneDB2-retrocopy
CDK5	retrogeneDB2-retrocopy
SMU1	retrogeneDB2-retrocopy
TRAPPC2	retrogeneDB2-retrocopy
MRPL11	retrogeneDB2-retrocopy
RPF2	retrogeneDB2-retrocopy
EXOSC8	retrogeneDB2-retrocopy
MRPS5	retrogeneDB2-retrocopy
UQCRC2	retrogeneDB2-retrocopy
C5orf63	retrogeneDB2-retrocopy
CBY1	retrogeneDB2-retrocopy
AKR1B10	retrogeneDB2-retrocopy
HORMAD1	retrogeneDB2-retrocopy
DDX10	retrogeneDB2-retrocopy
GLYR1	retrogeneDB2-retrocopy
VTCN1	retrogeneDB2-retrocopy
NMD3	retrogeneDB2-retrocopy
MTRNR2L1	user_defined-blacklist
MTRNR2L10	user_defined-blacklist
MTRNR2L2	user_defined-blacklist
MTRNR2L3	user_defined-blacklist
MTRNR2L4	user_defined-blacklist
MTRNR2L5	user_defined-blacklist
MTRNR2L6	user_defined-blacklist
MTRNR2L7	user_defined-blacklist
MTRNR2L8	user_defined-blacklist
MTRNR2L9	user_defined-blacklist
