gene_name	source
CCDC58	retrogeneDB2-retrocopy
GEMIN2	retrogeneDB2-retrocopy
EI24	retrogeneDB2-retrocopy
RPL10	retrogeneDB2-retrocopy
PCNA	retrogeneDB2-retrocopy
NAP1L1	retrogeneDB2-retrocopy
RNF181	retrogeneDB2-retrocopy
OOEP	retrogeneDB2-retrocopy
PRR13	retrogeneDB2-retrocopy
PAICS	retrogeneDB2-retrocopy
KATNBL1	retrogeneDB2-retrocopy
UBE2N	retrogeneDB2-retrocopy
NMNAT1	retrogeneDB2-retrocopy
PCNP	retrogeneDB2-retrocopy
TPI1	retrogeneDB2-retrocopy
ARF1	retrogeneDB2-retrocopy
AP3S1	retrogeneDB2-retrocopy
API5	retrogeneDB2-retrocopy
C11orf48	retrogeneDB2-retrocopy
ENSA	retrogeneDB2-retrocopy
NDUFA12	retrogeneDB2-retrocopy
UBE2C	retrogeneDB2-retrocopy
LYPLA1	retrogeneDB2-retrocopy
TWF1	retrogeneDB2-retrocopy
GNPNAT1	retrogeneDB2-retrocopy
RCC2	retrogeneDB2-retrocopy
EIF5A	retrogeneDB2-retrocopy
ATP6V1G1	retrogeneDB2-retrocopy
SLC9A3	retrogeneDB2-retrocopy
SEPHS1	retrogeneDB2-retrocopy
BRI3	retrogeneDB2-retrocopy
BOD1	retrogeneDB2-retrocopy
PDAP1	retrogeneDB2-retrocopy
ADH5	retrogeneDB2-retrocopy
CALM3	retrogeneDB2-retrocopy
MAP1LC3B	retrogeneDB2-retrocopy
MRPL42	retrogeneDB2-retrocopy
SOD1	retrogeneDB2-retrocopy
BOLA3	retrogeneDB2-retrocopy
NRBF2	retrogeneDB2-retrocopy
OLA1	retrogeneDB2-retrocopy
MORF4L1	retrogeneDB2-retrocopy
CTAGE5	retrogeneDB2-retrocopy
FAM60A	retrogeneDB2-retrocopy
ARL6IP1	retrogeneDB2-retrocopy
METTL15	retrogeneDB2-retrocopy
RHOQ	retrogeneDB2-retrocopy
FUNDC2	retrogeneDB2-retrocopy
MOB1A	retrogeneDB2-retrocopy
MINOS1	retrogeneDB2-retrocopy
PIGF	retrogeneDB2-retrocopy
PRPF38A	retrogeneDB2-retrocopy
PIN4	retrogeneDB2-retrocopy
SELK	retrogeneDB2-retrocopy
PSMD10	retrogeneDB2-retrocopy
GTF3C6	retrogeneDB2-retrocopy
RPS18	retrogeneDB2-retrocopy
NUP50	retrogeneDB2-retrocopy
ANP32A	retrogeneDB2-retrocopy
KNOP1	retrogeneDB2-retrocopy
HRSP12	retrogeneDB2-retrocopy
SERBP1	retrogeneDB2-retrocopy
CDC27	retrogeneDB2-retrocopy
EIF2S2	retrogeneDB2-retrocopy
MOB4	retrogeneDB2-retrocopy
IGF2BP2	retrogeneDB2-retrocopy
PDLIM1	retrogeneDB2-retrocopy
TMEM230	retrogeneDB2-retrocopy
KRT19	retrogeneDB2-retrocopy
HNRNPH1	retrogeneDB2-retrocopy
MMADHC	retrogeneDB2-retrocopy
PSAT1	retrogeneDB2-retrocopy
NDUFB8	retrogeneDB2-retrocopy
HNRNPK	retrogeneDB2-retrocopy
VTI1B	retrogeneDB2-retrocopy
ANXA2	retrogeneDB2-retrocopy
